question,answer,Sound,Difficulty
Q31.svg,"E4,F4",Q31(Melody),1
Q32.svg,"D4,B3",Q32(Melody),1
Q33.svg,"G4,A#4",Q33(Melody),1
Q34.svg,"B4,D5",Q34(Melody),1
Q35.svg,"A#4,G4",Q35(Melody),1
Q36.svg,"E4,D4,G4",Q36(Melody),2
Q37.svg,"E4,G#4,B5",Q37(Melody),2
Q38.svg,"D4,D#4,D4",Q38(Melody),2
Q39.svg,"E4,D4,F#4",Q39(Melody),2
Q40.svg,"F4,D4,F4",Q40(Melody),2
Q41.svg,"G4,F4,E4,D4",Q41(Melody),3
Q42.svg,"F4,E4,D4,C4",Q42(Melody),3
Q43.svg,"E4,A4,A4,G4",Q43(Melody),3
Q44.svg,"E4,F#4,D4,E4",Q44(Melody),3
Q45.svg,"C#4,C4,D#4,G#4",Q45(Melody),3
Q46.svg,"A#4,G4,C5,A4,F4",Q46(Melody),3
Q47.svg,"C5,D5,A#4,G4,D#5",Q47(Melody),3
Q48.svg,"A4,C5,B4,G4,F4",Q48(Melody),3
Q49.svg,"C5,D5,E5,G4,A4",Q49(Melody),3
Q50.svg,"F4,D#4,C4,A#3,G3",Q50(Melody),3
